5002	2	Problèmes 2	<p>Téléchargez et ouvrez le document texte suivant. <br></p><p><a href="@@PLUGINFILE@@/2.odt?time=1573509619983">@@PLUGINFILE@@/2.odt</a><br></p><p>Quels aspects de la présentation de ce document ne respectent pas les bonnes pratiques que nous avons vues en cours ? (3 réponses maximum).</p><p>Ne considérez pas le contenu du texte ou les parties qui pourraient manquer, et essayez d'être précis.<br></p>	NO_COR	
5003	2	Problèmes 3	<p><a href="@@PLUGINFILE@@/1.pptx">@@PLUGINFILE@@/1.pptx</a><br></p><p>Téléchargez et ouvrez la présentation Powerpoint jointe. <br></p><p>Quels aspects de la présentation de ce document ne respectent pas les bonnes pratiques que nous avons vues en cours ? (3 réponses maximum).</p><p>Ne considérez pas les diapositives qui pourraient manquer.<br></p>	NO_COR	
5004	2	Problèmes 4	<p><a href="@@PLUGINFILE@@/2.pptx">@@PLUGINFILE@@/2.pptx</a><br></p><p>Téléchargez et ouvrez la présentation Powerpoint jointe. <br></p><p>Quels aspects de la présentation de ce document ne respectent pas les bonnes pratiques que nous avons vues en cours ? (3 réponses maximum).</p><p>Ne considérez pas les diapositives qui pourraient manquer.<br></p>	NO_COR	
5006	1.5	HTML 3	<p></p><p>Dans le dessin suivant, chaque carré représente un élément HTML qui correspond à la balise indiquée à l'intérieur.</p><p><img src="@@PLUGINFILE@@/HTML3.png" alt="" role="presentation"></p><p>1. Donnez un morceau de code HTML qui reproduise la même structure à l'aide de balises <b>footer, div, address</b>. <br></p><p>2. Mettez "Chez moi" comme contenu de <b>address</b> et "Bloc" comme contenu de <b>div</b>.</p><p>3. Appliquez à <b>div</b> un attribut <i>id</i> ayant pour valeur "bas" et un attribut <i>dir</i><i></i> ayant pour valeur "auto".<br></p><p>Il n'est pas nécessaire de faire une page HTML complète ; ne <b>pas</b> mettre &lt;html&gt;, &lt;head&gt;, &lt;body&gt;, etc.<br></p><br><p></p>	NO_COR	
5007	1.5	HTML 2	<p></p><p>Dans le dessin suivant, chaque carré représente un élément HTML qui correspond à la balise indiquée à l'intérieur.</p><p><img src="@@PLUGINFILE@@/HTML2.png" alt="" role="presentation"><br></p><ol><li>Donnez un morceau de code HTML qui reproduise la même structure à l'aide de balises header, nav et a. <br></li><li>Mettez "Lien" comme contenu de <b>a</b>.<br></li><li>Appliquez à <b>a</b> un attribut <i>href</i> ayant pour valeur "cible.html" et un attribut <i>target</i> ayant pour valeur "_blank".<br></li></ol>Il n'est pas nécessaire de faire une page HTML complète : ne <b>pas</b> mettre &lt;html&gt;, &lt;head&gt;, &lt;body&gt;, etc.<br><p></p>	NO_COR	
5008	1.5	W3C 2	<p>En validant un code HTML vous recevez les erreurs suivantes :<br><br>Error : Attribute href not allowed on element img at this point.<br>Error : Element img is missing required attribute src.<br><br>Voici le code HTML autour de la ligne incriminée. Proposer un remplacement de cette partie du code qui corrige les erreurs tout en respectant l'intention de l'auteur du code (en cas d'ambiguité, faites suivant votre jugement).<br><br>&nbsp; &lt;body&gt;<br>&nbsp;&nbsp;&nbsp; &lt;img href="image.png" alt="Une image"/&gt;<br>&nbsp;&nbsp;&nbsp; &lt;p&gt;<br>&nbsp;&nbsp;&nbsp; Voici du texte qui vient après l'image.<br>&nbsp;&nbsp;&nbsp; &lt;/p&gt;<br>&nbsp; &lt;/body&gt;<br></p>	NO_COR	
5010	1.5	W3C 3	En validant une feuille de style CSS vous recevez les erreurs suivantes :\n\n<br><br>Line 1 a Value Error : font-size only 0 can be a unit. You must put a unit after your number : 14\n<br>Line 9 c Value Error : color rouge is not a color value : rouge\n\n<br><br>Voici le contenu de la feuille CSS :\n\n<br><br>a {\nfont-size:14;\n}\n\n<br>b {\nfont-weight:bold;\n}\n\n<br>c {\ncolor:rouge;\n}\n\n<br><br>Proposez une nouvelle feuille CSS qui corrige ces erreurs tout en ayant l'effet désiré par l'auteur de la feuille initiale. En cas d'ambiguité, choisissez suivant votre jugement.	NO_COR	
5013	2.5	Séparation contenu / présentation	<p>Indiquez trois outils qui peuvent être utilisés pour faire la séparation entre contenu et présentation et avoir une présentation cohérente.<br></p>	NO_COR	
5014	2.5	Accessibilité	<p>Indiquez trois précautions à prendre pour garantir l'accessibilité d'un document.<br></p>	NO_COR	
2011	2	11	On souhaite créer la page HTML permettant à l'enseignant de choisir l'UE dont il veut saisir les notes, sous forme d'un formulaire.<br/>Donnez le code HTML permettant de définir dans un champ choixUE l'UE que choisit l'enseignant parmi les valeurs IA, ILO et RIIA. L'affichage attendu sera le suivant:<br/><br/>Choisissez l'UE:<br/>o IA<br/>o ILO<br/>o RIIA<br/><br/>	NO_COR	
2013	1	13	Donnez le code HTML complet créant le formulaire contenant les champs des deux questions précédentes et envoyant les entrées de l'utilisateur vers une page affichenotes.php par la méthode POST.<br/>	NO_COR	
