1001	0.5	student101	Ce sont les pages web accessible par tout navigateur.\n
1001	0	student108	Un réseau mondial   \n
1001	0	student116	  C'est le réseau mondiale d'internet.\n
1001	0	student121	    Le réseau mondial, Internet.\n
1001	0	student122	    C'est un reseau permetant de connecter l'ensemble des machines ayant accés à internet entre elles.\n
1001	0	student13	    Le world Wide Web, d'abréviation 'www' est la plateforme surportant internet, ou tout au moins une grande partie de celui-ci.\n
1001	1	student3	    C'est le systeme hypertexte qui sert à consulter des documents et des pages hébergés sur le réseau internet\n
1001	0	student46	C'est l'internet mondial, le web qui peut etre accédé avec une connexion internet.   \n
1001	0	student49	NO_ANS
1001	1	student51	  www est un système hypertexte fonctionnant sur internet, c'est une des applications d'internet comme le courrier électronique\n
1001	1	student58	Inventé par Tim Berners-Lee en 1989, il permet la mise en commun de connaissance sur des pages internet accessible depuis un navigateur.   \n
1001	0	student62	    C'est l'extention permettant de ce connecter à un serveur. Dans nos  fichiers, il y a un dossier www dans lequel on peut mettre notre fichier php que l'on veut afficher sur une page firefox par exemple.\n
1001	0	student7	   C'est le réseau Internet le plus commun, qui contient toutes les adresses en "www" \n
1001	0	student74	    ça permet de se connecter à un serveur,\n
1001	0	student95	NO_ANS
1001	0	student96	    C'est un standard de notation pour référencer les sites Web.\n
1001	1	student98	    Système hypertexte fonctionnant sur internet, c'est une des applications d'internet, comme un courier électronique, messagerie instantanée\n
1002	1	student101	 Une page HTML ne contient que de la mise en page (front-end), tandis que le PHP peut gérer le côté serveur (back-end) :\n    - En introduisant par exemple une base de données et en gérant les requêtes.\n    - En gérant la gestion de formulaire\n    - A partir d'une adresse url, permet de récupérer des informations (exemple : monsite.com/index.php%monNom%monPrenom)\n
1002	0.5	student108	    Avec du code PHP, on peut intérargir avec le côté serveur, par exemple en recherchant dans des bases de données. On peut ainsi créer des utilisateurs du sites web (comptes), et même implémenter un espace de discussion (forum/chat)\n
1002	1	student116	    Une page web en PHP peut avoir des interactions avec une base de donnée et ainsi pouvoir par exemple gérer une session (login) et elle peut avoir des conditions (comme if etc...), lui permettant de sécuriser des données via des tests. Le pĥp permet aussi des interactions avec l'utilisateur.\n
1002	0.5	student121	        Avec du code PHP, on peut générer des pages personnalisées en fonction de l'utilisateur connecté. On peut aussi effectuer du traitement afin de .\n
1002	0.5	student122	    Le contenu d'une page PHP est dynamique. Il est possible de modifier son contenu sant toucher à la structure du code. Il est donc possible de creer des outils comme les chat et et les forums en PHP, ce qui n'est pas possible avec du html uniquement\n
1002	1	student13	    Avec du php on peut:\n    -Dynamiser la page web en faisant des requêtes sql par exemple.\n    -Avoir une maintenance beaucoup plus facile, avec le changement de variable au lieu de changer tout le code où on les utilise\n
1002	1	student3	    Une page qui utilise du PHP est une page dynamique, elle peut donc changer selon divers paramètres(date..)\n    sans modification du code,  et la page peut aussi interagir avec l'utilisateur( dans le cas d'un forum par exemple)\n
