5002	A_COMPLETER	student100	les Sous-sections doit être identique.\n\nla taille du texte est trop petit.\n\n
5002	A_COMPLETER	student104	Les titres de sous-section n'ont pas la même taille et ne sont pas tous soulignés\n\nLa table des matières est mal placée et pas vraiment nécéssaire\n\n
5002	A_COMPLETER	student105	NO_ANS
5002	0.5	student106	La sous section 1.2 est souligné alors que les autres sous section ne le sont pas. Voir même quelles ne le doivent pas.\nLa sous section 2.1 est italic alors que les autres sous section ne le sont pas.\n\n
5002	A_COMPLETER	student107	1-Le nom des section différentes, cela peut porter à confusion si l'on cherche un passage précis du document, la table des matières n'est pas à jour.\n\n2-les titres de partie et titres de sous-partie qui ont les mêmes couleurs d'écriture, on ne les distingue pas clairement au premier coup d'oeil.\n\n3- certains sous-titres soulignés alors que d'autres ne le sont pas on ne c'est pas si cela signifie qu'il est plus important qu'un autres ou est mal placé.\n\n
5002	A_COMPLETER	student110	-Toutes les sous section ne sont pas souligner\n\n-Pas la même police entre les sous section\n\n-Titre pas souligné\n
5002	1	student114	Les sous-section ne sont pas toutes les même ( sous-section 1.2 souligné contrairement aux autres).\n\nTexte en police 9 et italique trop petit pour certaines personnes, la lecture en devient difficile.\n\nLa table des matières est superflus, tout est sur la même page elle ne sert donc a rien.\n\n
5002	A_COMPLETER	student118	Tout le texte est en italique.\n\nIl n'y a pas de page de garde.\n\nIl ne respect pas la charte graphique de l'iut\n
5002	A_COMPLETER	student124	Un des aspects qui ne respecte pas les bonnes pratiques est le fait que les sous-titres ne sont pas tous soulignés. \nUn autre point est qu'il n'y a pas d'espace entre les sous-titre et les paragraphes.\n\nUn dernier point est que le texte est petit et en italique ce qui me gêne par exemple moi quand j'essaye de lire.\n
5002	0	student126	Sur la page principale où il y a le sommaire il faut laisser uniquement le sommaire.\n\nEnsuite le premier titre doit être sur la seconde page.\n\nToutes les informations se trouvent sur la même page dans le sommaire ce qui fait qu'il y a la même page dans le sommaire répéter.\n\n
5002	A_COMPLETER	student129	\t* Pas de grandes différences entre les titres de sections et les sous sections\n\t* Pas d'espace entre les paragraphes et les titres ( de sections ou sous sections)\n\t* Pas d'en-tête ni de pied-de-page\n\n
5002	A_COMPLETER	student132	La sous-section 1.2 est souligné alors que la sous-section 1.1 ne l'est pas (non respect du même style au même degré de partie).\n\nLa police est trop petite! Elle est ici de 9 alors que la police minimum à respecter est 12.\n\n
5002	A_COMPLETER	student134	les titres de sous section non pas le même  format : sous section1.2 est soulignée.\n\nla police du texte est trop petite : 12 minimum, ici 9.\n\nIl manque un saut de page entre la première partie et la deuxième. \n
5002	A_COMPLETER	student135	-Les titres de sous-section n'ont pas tous la meme mise en forme (sous-section 1.2 différent des autres)\n\n-Le texte de sous-section 1.2 est coupé en 2 partie\n
5002	A_COMPLETER	student138	1 - Pour les "Sous-section", bien qu'elle sont toutes de style "Titre 2", elles ne sont pas uniformes. La 1.2 est souligné mais pas les autres et la 2.1 est en Italique mais pas les autres\n\n2 - Le style "lang-la" appliqué au Corps de Texte n'a pas de Police définie et chaque paragraphe a une police mise manuellement (Calibre).\n\n3 - Le "Corps de Texte" a une taille de police trop petite. Cela provoque des difficultés de lectures.\n
5002	A_COMPLETER	student167	-Le fait que "Sous-section 1.2" soit souligné n'est pas cohérent avec les autres titres de sous-sections.\n\n-Dans la table des matières, la sous-section de la Deuxième section est notée "Sous-section 1.1" ce qui n'est pas cohérent et ne coincide pas avec la sous-section dans le document.\n\n-De plus la police de la table des matières est de 9pts alors que la "norme" afin d'être lu correctement est de 12pts.\n
5002	A_COMPLETER	student171	Toute les sous sections ne sont pas souligné.\n\nLa taille de police n'est pas adapté a tout le monde.\n\nLa table des matières est sur la même page que le reste de texte.\n\n
5002	A_COMPLETER	student173	Il y a des titres des sections de sont pas soulignés alors que le titre de la sous-sections 1.2 l'est.\n\nLa table des matières de sert à rien car il y a qu'une page.\n\nLa police des paragraphes est trop petite et fait mal aux yeux.\n
